iter	Passed	Remaining
0	5	517
1	11	556
2	17	562
3	22	545
4	28	543
5	33	530
6	38	510
7	43	496
8	47	483
9	52	471
10	57	461
11	61	451
12	66	443
13	70	435
14	75	427
15	79	419
16	84	413
17	89	407
18	94	400
19	98	395
20	103	388
21	108	384
22	113	379
23	118	375
24	123	369
25	127	363
26	132	359
27	137	352
28	141	347
29	146	341
30	150	334
31	155	329
32	159	324
33	164	318
34	168	313
35	173	308
36	178	303
37	183	299
38	188	294
39	192	288
40	196	282
41	200	277
42	204	271
43	208	265
44	213	260
45	217	255
46	221	249
47	225	244
48	230	240
49	235	235
50	239	230
51	244	225
52	249	220
53	252	215
54	257	210
55	261	205
56	266	201
57	270	196
58	275	191
59	279	186
60	284	181
61	288	176
62	292	171
63	297	167
64	301	162
65	305	157
66	310	153
67	315	148
68	319	143
69	324	138
70	328	134
71	333	129
72	337	124
73	342	120
74	346	115
75	351	110
76	355	106
77	360	101
78	364	96
79	369	92
80	373	87
81	378	83
82	383	78
83	387	73
84	391	69
85	396	64
86	401	59
87	405	55
88	409	50
89	413	45
90	418	41
91	422	36
92	426	32
93	431	27
94	435	22
95	440	18
96	444	13
97	448	9
98	451	4
99	455	0
