iter	Logloss
0	0.4417802202
1	0.3533536505
2	0.3119366478
3	0.2890912424
4	0.2773698208
5	0.271981789
6	0.2653984218
7	0.2564949291
8	0.2531386292
9	0.247953797
10	0.2401140898
11	0.2381391359
12	0.2363077094
13	0.2346090989
14	0.2318383965
15	0.2286491786
16	0.2266770567
17	0.2227578827
18	0.2195253239
19	0.2189440385
20	0.2184039485
21	0.2167862623
22	0.2157746721
23	0.2150206854
24	0.2135317994
25	0.2128885132
26	0.2125690497
27	0.211873371
28	0.2114210894
29	0.2096376076
30	0.2088684045
31	0.2084745793
32	0.2075079403
33	0.2067965326
34	0.2061423762
35	0.2057989896
36	0.205123339
37	0.2038023965
38	0.2024584742
39	0.200709852
40	0.2000527697
41	0.1955567922
42	0.1943336827
43	0.1938001179
44	0.1935913107
45	0.1930996364
46	0.1927235237
47	0.1920200313
48	0.1917285733
49	0.1913758713
50	0.1907902852
51	0.1903585045
52	0.1898097574
53	0.1894548483
54	0.1892405457
55	0.188582339
56	0.1883248839
57	0.1870099492
58	0.1866995813
59	0.1864992261
60	0.1861208569
61	0.1857121017
62	0.185474875
63	0.1848969972
64	0.1846347016
65	0.1844324214
66	0.1842545812
67	0.1838681742
68	0.1835963905
69	0.1833241102
70	0.1821230832
71	0.1815452365
72	0.1814479905
73	0.1810267112
74	0.180625004
75	0.1803697123
76	0.1797223509
77	0.1788840002
78	0.1782319861
79	0.177941662
80	0.1773896146
81	0.1770869733
82	0.1768764023
83	0.1765717378
84	0.1764301693
85	0.1760553249
86	0.1757623149
87	0.1755492944
88	0.1752345545
89	0.1747897832
90	0.1747030628
91	0.1745358618
92	0.1742897551
93	0.1740182834
94	0.1739782537
95	0.1737529823
96	0.1733877966
97	0.173059894
98	0.172770664
99	0.1725100773
